placename	longitude	latitude	file 	query
Mwanza	34.52479	-15.60262	241_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	242_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	244_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	245_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	246_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	247_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	28_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	42_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	52_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	53_pdf.txt	Mwanza
Mwanza	34.52479	-15.60262	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Mwanza
Mwanza	34.52479	-15.60262	IGPWP_Forestry_Project_sites0.csv	Mwanza
Mwanza	34.52479	-15.60262	IGPWP_Forestry_Project_sites1.csv	Mwanza
Mwanza	34.52479	-15.60262	IGPWP_Forestry_Project_sites.csv	Mwanza
Mwase	33.43333	-14.1	42_pdf.txt	Mwase
Mwase	33.43333	-14.1	IGPWP_Forestry_Project_sites0.csv	Mwase
Mwase	33.43333	-14.1	IGPWP_Forestry_Project_sites1.csv	Mwase
Mwase	33.43333	-14.1	IGPWP_Forestry_Project_sites.csv	Mwase
Mwaya	33.69739	-12.45828	206_pdf.txt	Mwaya
Mwaya	33.69739	-12.45828	53_pdf.txt	Mwaya
Mzimba	33.81667	-12.01667	139_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	14_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	15_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	186_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	215_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	216_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	235_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	236_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	237_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	238_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	240_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	242_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	243_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	244_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	245_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	246_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	247_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	249_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	250_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	251_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	30_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	36_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	39_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	42_jpg.txt	Mzimba
Mzimba	33.81667	-12.01667	42_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	52_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	60_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	86_jpg.txt	Mzimba
Mzimba	33.81667	-12.01667	89_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	96_pdf.txt	Mzimba
Mzimba	33.81667	-12.01667	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Mzimba
Mzumara	33.67325	-12.81838	215_pdf.txt	Mzumara
Mzumara	33.67325	-12.81838	52_pdf.txt	Mzumara
Mzuzu	34.02071	-11.46556	109_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	139_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	13_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	143_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	147_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	189_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	192_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	193_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	195_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	197_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	199_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	201_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	206_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	207_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	208_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	215_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	218_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	221_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	235_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	236_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	242_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	244_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	246_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	247_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	250_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	251_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	31_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	39_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	3_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	42_jpg.txt	Mzuzu
Mzuzu	34.02071	-11.46556	45_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	46_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	48_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	49_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	51_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	52_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	53_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	54_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	55_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	64_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	86_jpg.txt	Mzuzu
Mzuzu	34.02071	-11.46556	86_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	89_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	90_pdf.txt	Mzuzu
Mzuzu	34.02071	-11.46556	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Mzuzu
Namalindi	35.5	-15.23333	IGPWP_Roads_project_sites0.csv	Namalindi
Namalindi	35.5	-15.23333	IGPWP_Roads_project_sites1.csv	Namalindi
Namalindi	35.5	-15.23333	IGPWP_Roads_project_sites.csv	Namalindi
Namandanje	35.30112	-14.87652	28_pdf.txt	Namandanje
Namandanje	35.30112	-14.87652	42_pdf.txt	Namandanje
Namanja	35.67749	-14.9641	28_pdf.txt	Namanja
Namanja	35.67749	-14.9641	42_pdf.txt	Namanja
Nambera	32.96667	-13.5	IGPWP_Forestry_Project_sites0.csv	Nambera
Nambera	32.96667	-13.5	IGPWP_Forestry_Project_sites1.csv	Nambera
Nambera	32.96667	-13.5	IGPWP_Forestry_Project_sites.csv	Nambera
Nambuma	33.60337	-13.70402	215_pdf.txt	Nambuma
Nambuma	33.60337	-13.70402	52_pdf.txt	Nambuma
Namikoko	35.18333	-15.93333	IGPWP_Roads_project_sites0.csv	Namikoko
Namikoko	35.18333	-15.93333	IGPWP_Roads_project_sites1.csv	Namikoko
Namikoko	35.18333	-15.93333	IGPWP_Roads_project_sites.csv	Namikoko
Naminga	35.51667	-15.73333	215_pdf.txt	Naminga
Naminga	35.51667	-15.73333	52_pdf.txt	Naminga
Namingazi	35.41667	-15.35	IGPWP_Roads_project_sites0.csv	Namingazi
Namingazi	35.41667	-15.35	IGPWP_Roads_project_sites1.csv	Namingazi
Namingazi	35.41667	-15.35	IGPWP_Roads_project_sites.csv	Namingazi
Namwera	35.5	-14.35	186_pdf.txt	Namwera
Namwera	35.5	-14.35	215_pdf.txt	Namwera
Namwera	35.5	-14.35	238_pdf.txt	Namwera
Namwera	35.5	-14.35	245_pdf.txt	Namwera
Namwera	35.5	-14.35	52_pdf.txt	Namwera
Namwera	35.5	-14.35	96_pdf.txt	Namwera
Namwiri	34.75886	-14.47177	215_pdf.txt	Namwiri
Namwiri	34.75886	-14.47177	52_pdf.txt	Namwiri
Nancholi	34.71667	-16.15	IGPWP_Roads_project_sites0.csv	Nancholi
Nancholi	34.71667	-16.15	IGPWP_Roads_project_sites1.csv	Nancholi
Nancholi	34.71667	-16.15	IGPWP_Roads_project_sites.csv	Nancholi
Nangoma	35.38333	-15.68333	30_pdf.txt	Nangoma
Nankumba	34.82269	-14.36446	247_pdf.txt	Nankumba
Nankumba	34.82269	-14.36446	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Nankumba
Nansadi	35.19542	-15.88512	215_pdf.txt	Nansadi
Nansadi	35.19542	-15.88512	52_pdf.txt	Nansadi
Nansadi	35.19542	-15.88512	IGPWP_Roads_project_sites0.csv	Nansadi
Nansadi	35.19542	-15.88512	IGPWP_Roads_project_sites1.csv	Nansadi
Nansadi	35.19542	-15.88512	IGPWP_Roads_project_sites.csv	Nansadi
Nansenga	34.63584	-15.12108	32_pdf.txt	Nansenga
Nathenje	33.91076	-14.08463	186_pdf.txt	Nathenje
Nathenje	33.91076	-14.08463	203_pdf.txt	Nathenje
Nathenje	33.91076	-14.08463	204_pdf.txt	Nathenje
Nathenje	33.91076	-14.08463	205_pdf.txt	Nathenje
Nathenje	33.91076	-14.08463	96_pdf.txt	Nathenje
Nathenje	33.91076	-14.08463	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Nathenje
Nchalo	34.86889	-16.26346	134_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	149_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	188_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	18_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	209_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	222_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	235_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	58_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	67_pdf.txt	Nchalo
Nchalo	34.86889	-16.26346	93_pdf.txt	Nchalo
Neno	34.65343	-15.39805	105_pdf.txt	Neno
Neno	34.65343	-15.39805	15_pdf.txt	Neno
Neno	34.65343	-15.39805	162_pdf.txt	Neno
Neno	34.65343	-15.39805	206_pdf.txt	Neno
Neno	34.65343	-15.39805	239_pdf.txt	Neno
Neno	34.65343	-15.39805	241_pdf.txt	Neno
Neno	34.65343	-15.39805	28_pdf.txt	Neno
Neno	34.65343	-15.39805	36_pdf.txt	Neno
Neno	34.65343	-15.39805	42_pdf.txt	Neno
Neno	34.65343	-15.39805	53_pdf.txt	Neno
