Project ID,latitude,longitude
38,-13.9984,33.75986
38,-16.26346,34.86889
38,-13.99168,33.75774
38,-13.93882,33.80359
38,-13.93871,33.80085
38,-11.46137,34.02071
39,-12.16667,33.68333
39,-13.5,34
40,-13.5,34
40,-13.5,34
41,-13.5,34
42,-13.5,34
42,-12.36162,33.55601
42,-14.01962,33.68407
42,-13.5,34
42,-15.80115,35.05338
43,-13.5,34
43,-13.5,34
43,-13.5,34
45,-13.5,34
45,-14.766,35.283
45,-13.5,34
45,-14.01962,33.68407
45,-15.80115,35.05338
46,-14.39296,35.34658
46,-13.5,34
46,-14.63566,35.25184
46,-14.42024,34.6005
46,-14.01962,33.68407
46,-15.78499,35.00854
46,-15.80115,35.05338
46,-14.26273,34.18559
46,-14.08239,34.91652
46,-13.5,34
47,-14.39296,35.34658
47,-14.08239,34.91652
47,-13.5,34
47,-12.24525,34.02001
47,-11.46556,34.02071
47,-13.96542,34.80193
47,-15.80115,35.05338
47,-12.43333,33.88333
47,-14.01962,33.68407
47,-12.2347,33.98372
47,-13.24207,33.58362
47,-11.65304,34.05322
47,-13.5,34
47,-15.64732,34.93956
47,-11.6006,34.25241
47,-12.62101,34.16634
48,-12.80417,34.08298
48,-13.96667,33.35
48,-13.5,34
48,-10.11153,33.88151
48,-16.16667,34.75
48,-15.43007,35.41829
48,-13.71959,34.40184
48,-14.01962,33.68407
48,-11.85428,33.60778
48,-14.36323,35.50255
48,-13.06416,33.93476
48,-13,33.41667
48,-14.39296,35.34658
48,-14.08463,33.91076
48,-15.97055,35.31096
48,-13.7623,33.07998
48,-16.38333,34.68333
51,-14.39296,35.34658
51,-11,34
51,-14.3,33.83333
51,-16.4,34.86667
51,-15.39979,35.31366
51,-13.5,34
51,-13,33.41667
51,-15.43007,35.41829
51,-13.5,34
51,-14.01962,33.68407
51,-11.65304,34.05322
51,-15.63337,34.51682
51,-15.64732,34.93956
52,-14.39296,35.34658
52,-11,34
52,-14.3,33.83333
52,-16.4,34.86667
52,-13.5,34
52,-13,33.41667
52,-15.43007,35.41829
52,-13.5,34
52,-14.01962,33.68407
52,-11.65304,34.05322
52,-15.63337,34.51682
52,-15.64732,34.93956
53,-12.16667,33.68333
54,-13.5,34
55,-12.16667,33.68333
55,-15.39979,35.31366
55,-14.01962,33.68407
55,-13.5,34
55,-13.5,34
56,-13.5,34
56,-13.5,34
56,-14.01962,33.68407
57,-14.37774,33.73904
57,-13.5,34
57,-16.4,34.86667
57,-11.46751,34.02298
57,-12.16667,33.68333
57,-11.68333,33.71667
57,-14.01962,33.68407
57,-13.16667,33.58333
57,-13.5,34
59,-14.01962,33.68407
59,-15.64732,34.93956
60,-12.80417,34.08298
60,-15.04839,35.0591
60,-11.65304,34.05322
60,-13.5,34
60,-11.46556,34.02071
60,-14.96656,34.99189
60,-13,33.41667
60,-15.43007,35.41829
60,-13.5,34
60,-13.71959,34.40184
60,-13.5,34
60,-15.41667,35.41667
60,-11.85428,33.60778
60,-14.01962,33.68407
60,-15.2772,35.39904
60,-13.7623,33.07998
