"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43916,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",63,"n.a. (1982)","","","Unknown","Unknown"
43917,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",64,"n.a. (1983)","","","Unknown","Unknown"
43918,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",65,"n.a. (1988)","","","Unknown","Unknown"
43919,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",66,"n.a. (1993)","","","Unknown","Unknown"
43920,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",67,"n.a. (1994)","","","Unknown","Unknown"
43921,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",68,"n.a. (1995)","","","Unknown","Unknown"
43922,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",69,"n.a. (1996)","","","Unknown","Unknown"
43923,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",70,"n.a. (1999)","","","Unknown","Unknown"
43924,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",71,"n.a. (2002)","","","Unknown","Unknown"
43925,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",72,"n.a. (2005)","","","Unknown","Unknown"
43926,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",73,"n.a. (2006)","","","Unknown","Unknown"
43927,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",74,"n.a. (2011)","","","Unknown","Unknown"
43928,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",75,"n.a. (2012)","","","Unknown","Unknown"
43929,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",76,"n.a. (2013)","","","Unknown","Unknown"
43930,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",77,"n.a. (2015)","","","Unknown","Unknown"
43931,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",78,"n.a. (2022)","","","Unknown","Unknown"
43932,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",79,"n.a. (2024)","","","Unknown","Unknown"
43933,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",80,"n.a. (2025)","","","Unknown","Unknown"
43934,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",81,"n.a. (2027)","","","Unknown","Unknown"
43935,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",82,"n.a. (2028)","","","Unknown","Unknown"
43936,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",83,"n.a. (2036)","","","Unknown","Unknown"
43937,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",84,"n.a. (2048)","","","Unknown","Unknown"
43938,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",85,"n.a. (2054)","","","Unknown","Unknown"
43939,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",86,"n.a. (2064)","","","Unknown","Unknown"
43940,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",87,"n.a. (2066)","","","Unknown","Unknown"
43941,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",88,"n.a. (2068)","","","Unknown","Unknown"
43942,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",89,"n.a. (2069)","","","Unknown","Unknown"
43943,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",90,"n.a. (2078)","","","Unknown","Unknown"
43944,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",91,"n.a. (2082)","","","Unknown","Unknown"
43945,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",92,"n.a. (2085)","","","Unknown","Unknown"
43946,135,"MWI","Malawi",1,"Balaka",3,"TA Nsamala",93,"n.a. (2090)","","","Unknown","Unknown"
43947,135,"MWI","Malawi",2,"Blantyre",4,"Blantyre City",94,"n.a. (2465)","","","Unknown","Unknown"
43948,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",95,"n.a. (2133)","","","Unknown","Unknown"
43949,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",96,"n.a. (2141)","","","Unknown","Unknown"
43950,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",97,"n.a. (2162)","","","Unknown","Unknown"
43951,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",98,"n.a. (2163)","","","Unknown","Unknown"
43952,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",99,"n.a. (2178)","","","Unknown","Unknown"
43953,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",100,"n.a. (2179)","","","Unknown","Unknown"
