"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21366,135,"MWI","Malawi",13,"Mchinji",128,"TA Mkanda","","","Traditional Authority","Traditional Authority"
21367,135,"MWI","Malawi",13,"Mchinji",129,"TA Mlonyeni","","","Traditional Authority","Traditional Authority"
21368,135,"MWI","Malawi",13,"Mchinji",130,"TA Zulu","","","Traditional Authority","Traditional Authority"
21369,135,"MWI","Malawi",14,"Mulanje",131,"Mulanje Boma","","","Boma","Headquarter"
21370,135,"MWI","Malawi",14,"Mulanje",132,"Mulanje Mountain Forest Reserve","","","Reserve","Reserve"
21371,135,"MWI","Malawi",14,"Mulanje",133,"SC Juma","","","Sub-chief","Sub-chief"
21372,135,"MWI","Malawi",14,"Mulanje",134,"SC Laston Njema","","","Sub-chief","Sub-chief"
21373,135,"MWI","Malawi",14,"Mulanje",135,"TA Chikumbu","","","Traditional Authority","Traditional Authority"
21374,135,"MWI","Malawi",14,"Mulanje",136,"TA Mabuka","","","Traditional Authority","Traditional Authority"
21375,135,"MWI","Malawi",14,"Mulanje",137,"TA Nkanda","","","Traditional Authority","Traditional Authority"
21376,135,"MWI","Malawi",14,"Mulanje",138,"TA Nthiramanja","","","Traditional Authority","Traditional Authority"
21377,135,"MWI","Malawi",15,"Mwanza",139,"Mwanza Boma","","","Boma","Headquarter"
21378,135,"MWI","Malawi",15,"Mwanza",140,"TA Dambe","","","Traditional Authority","Traditional Authority"
21379,135,"MWI","Malawi",15,"Mwanza",141,"TA Kanduku","","","Traditional Authority","Traditional Authority"
21380,135,"MWI","Malawi",15,"Mwanza",142,"TA Mlauli","","","Traditional Authority","Traditional Authority"
21381,135,"MWI","Malawi",15,"Mwanza",143,"TA Ngozi","","","Traditional Authority","Traditional Authority"
21382,135,"MWI","Malawi",15,"Mwanza",144,"TA Nthache","","","Traditional Authority","Traditional Authority"
21383,135,"MWI","Malawi",15,"Mwanza",145,"TA Symon","","","Traditional Authority","Traditional Authority"
