project_ID,latitude,longitude,precision_code,geoname_ID,geoname
872261199883,-15.666667,35.666667,3,1105842,Phalombe District
872261199934,-11.854277,33.607776,3,925496,Mzimba District
872261199934,-13,33.4166667,3,928531,Kasungu District
872261199934,-14.019624,33.68407,3,927964,Lilongwe District
872261199934,-13.600977,33.823778,3,929975,Dowa District
872261199934,-14.262731,34.18559,3,930023,Dedza District
872261209832,-14.019624,33.68407,3,927964,Lilongwe District
872261209939,,,6,927384,Republic of Malawi
872261209978,-13.762298,33.0799839,3,926745,Mchinji District
872261209978,-15.430074,35.418291,3,923292,Zomba District
872261209978,-11.854277,33.607776,3,925496,Mzimba District
872261209978,-14.262731,34.18559,3,930023,Dedza District
872261219757,-9.716667,33.266667,1,235751,Chitipa
872261219757,-9.933333,33.933333,1,235715,Karonga
872261219757,-11.46555674,34.02070999,1,925475,Mzuzu
872261219757,-12.916667,34.3,1,924705,Nkhotakota
872261219757,-13.366667,34,1,924491,Ntchisi
872261219757,-13.033333,33.483333,1,928534,Kasungu
872261219757,-13.783333,34.433333,1,924055,Salima
872261219757,-14.983333,34.95,1,931865,Balaka
872261219757,-15.0666667,35.2166667,1,927834,Liwonde
872261219757,-15.385957,35.318801,1,923295,Zomba
872261219757,-16.006928,35.309475,1,927792,Luchenza
872261219757,-9.70237,33.26969,1,235751,Chitipa
872261219757,-9.933333,33.933333,1,235715,Karonga
872261219757,-11.46555674,34.02070999,1,925475,Mzuzu
872261219757,-12.916667,34.3,1,924705,Nkhotakota
872261219757,-13.366667,34,1,924491,Ntchisi
872261219757,-13.033333,33.483333,1,928534,Kasungu
872261219757,-13.783333,34.433333,1,924055,Salima
872261219757,-14.983333,34.95,1,931865,Balaka
872261219757,-14.866667,35.466667,1,927835,Liwonde
872261219757,-15.385957,35.318801,1,923295,Zomba
872261219757,-16.006928,35.309475,1,927792,Luchenza
872261219762,,,8,927384,Republic of Malawi
872261219797,-16.916667,35.266667,1,924572,Nsanje
872261219797,-16.041986,34.801923,1,931070,Chikwawa
872261219797,-13.9833333,33.7833333,1,927967,Lilongwe
872261219797,-13.783333,34.433333,1,924055,Salima
872261219797,-13.366667,34,1,924491,Ntchisi
872261219797,-13.033333,33.483333,1,928534,Kasungu
872261219802,-9.716667,33.266667,1,235751,Chitipa
872261219802,-15.0666667,35.2166667,1,927834,Liwonde
872261219802,-14.983333,34.95,1,931865,Balaka
872261219802,-13.783333,34.433333,1,924055,Salima
872261219802,-13.033333,33.483333,1,928534,Kasungu
872261219802,-13.366667,34,1,924491,Ntchisi
872261219802,-12.916667,34.3,1,924705,Nkhotakota
872261219802,-11.46555674,34.02070999,1,925475,Mzuzu
872261219802,-14.366667,34.333333,1,930025,Dedza
872261219802,-15.385957,35.318801,1,923295,Zomba
872261219802,-16.070289,35.147143,1,923652,Thyolo
872261219802,-14.466667,35.266667,1,927246,Mangochi
872261219802,-9.933333,33.933333,1,235715,Karonga
872261219802,-14.392955,35.346577,3,927245,Mangochi District
872261219802,-15.430074,35.418291,3,923292,Zomba District
872261219802,-16.105828,35.150601,3,930283,Thyolo District
872261219806,-15.934395,35.499904,3,925788,Mulanje District
872261219806,-10.802922,33.805243,3,924100,Rumphi District
872261219806,,,6,927384,Republic of Malawi
872261219812,-11.65304,34.053218,3,924730,Nkhata Bay District
872261219812,-14.019624,33.68407,3,927964,Lilongwe District
872261219812,-10.111532,33.881507,3,928657,Karonga District
872261219835,,,6,927384,Republic of Malawi
872261219842,-13.719594,34.401842,3,924053,Salima District
872261219842,-13.295737,33.907981,3,924490,Ntchisi District
872261219842,-16.75,35.1666667,3,924567,Nsanje District
872261219842,-14.019624,33.68407,3,927964,Lilongwe District
872261219842,-13,33.4166667,3,928531,Kasungu District
872261219842,-16.1666667,34.75,3,931067,Chikwawa District
872261219847,-9.933333,33.933333,1,235715,Karonga
872261219847,-9.716667,33.266667,1,235751,Chitipa
872261219847,-15.385957,35.318801,1,923295,Zomba
872261219847,-13.783333,34.433333,1,924055,Salima
872261219847,-12.916667,34.3,1,924705,Nkhotakota
872261219847,-16.006928,35.309475,1,927792,Luchenza
872261219847,-13.033333,33.483333,1,928534,Kasungu
872261219847,-14.983333,34.95,1,931865,Balaka
872261219847,-13.366667,34,1,924491,Ntchisi
872261219847,-11.465557,34.02071,1,925475,Mzuzu
872261219847,-15.066667,35.216667,1,927834,Liwonde
872261219851,-10.802922,33.805243,3,924100,Rumphi District
872261219851,-15.934395,35.499904,3,925788,Mulanje District
872261219851,,,6,927384,Republic of Malawi
872261219854,,,8,927384,Republic of Malawi
872261219858,-15.430074,35.418291,3,923292,Zomba District
872261219858,-14.392955,35.346577,3,927245,Mangochi District
872261219858,-14.262731,34.18559,3,930023,Dedza District
872261219858,-16.105828,35.150601,3,930283,Thyolo District
872261219922,-15.697583,35.185055,1,930580,Chiradzulu
872261219944,-15.786823,35.013868,1,931755,Blantyre
872261219944,-13.983333,33.783333,1,927967,Lilongwe
872261219944,-15.385957,35.318801,1,923295,Zomba
872261219944,-11.46555674,34.02070999,1,925475,Mzuzu
872261219944,,,6,927384,Republic of Malawi
872261219959,-15.786823,35.013868,1,931755,Blantyre
872261219959,-13.983333,33.783333,1,927967,Lilongwe
872261219959,-11.465557,34.02071,1,925475,Mzuzu
872261219959,,,6,927384,Republic of Malawi
872261219959,,,8,927384,Republic of Malawi
872261219962,-11.65304,34.053218,3,924730,Nkhata Bay District
872261219962,-15.4,35.333333,1,928607,Kasembe
872261219962,-14.945831,35.573667,3,927642,Machinga District
872261219962,-15.83875,35.06002,2,7840032,Misesa Primary School
872261219962,-13.600977,33.823778,3,929975,Dowa District
872261219962,-15.633374,34.516816,3,925595,Mwanza District
872261219962,-10.802922,33.805243,3,924100,Rumphi District
872261219962,-13.9833333,33.7833333,1,927967,Lilongwe
872261219962,-15.752677,35.215762,3,930579,Chiradzulu District
872261219962,-14.35,34.433333,2,931801,Bembeke Mission
872261219962,-15.430074,35.418291,3,923292,Zomba District
872261219962,-10.453184,34.210334,1,7839997,Uliwa
872261219962,-14.945831,35.573667,3,927642,Machinga District
872261219962,-10.111532,33.881507,3,928657,Karonga District
872261219962,-16.105828,35.150601,3,930283,Thyolo District
872261219962,,,6,927384,Republic of Malawi
872261219962,-15.633374,34.516816,3,925595,Mwanza District
872261219962,-12.033333,34.05,2,925573,Mwaya Court
872261219962,-15.398052,34.65343,1,924963,Neno
872261219962,-11.854277,33.607776,3,925496,Mzimba District
872261219962,-13.9833333,33.7833333,1,927967,Lilongwe
872261219962,-14.262731,34.18559,3,930023,Dedza District
872261219962,-15.786823,35.013868,1,931755,Blantyre
872261219965,,,8,927384,Republic of Malawi
872261219967,,,6,927384,Republic of Malawi
872261219967,-15.430074,35.418291,3,923292,Zomba District
872261219967,-13.719594,34.401842,3,924053,Salima District
872261219967,-14.392955,35.346577,3,927245,Mangochi District
872261219967,-14.019624,33.68407,3,927964,Lilongwe District
872261219967,-15.647316,34.939562,3,931754,Blantyre District
872261219967,-15.450508,34.700342,3,7628385,Neno District
872261219991,-15.752677,35.215762,3,930579,Chiradzulu District
872261219991,-15.048394,35.059102,3,1105840,Balaka District
872261219991,-16.105828,35.150601,3,930283,Thyolo District
872261219991,-13.719594,34.401842,3,924053,Salima District
872261219991,-14.019624,33.68407,3,927964,Lilongwe District
872261219991,-12.804172,34.082977,3,924703,Nkhotakota District
872261219991,-13.600977,33.823778,3,929975,Dowa District
872261219991,-11.85428,33.60778,3,925496,Mzimba District
872261219991,-10.802922,33.805243,3,924100,Rumphi District
872261219991,-10.11153,33.88151,3,928657,Karonga District
872261219991,-9.927265,33.425412,3,235749,Chitipa District
872261219995,,,6,927384,Republic of Malawi
872261219997,,,8,927384,Republic of Malawi
872261229801,-15.385957,35.318801,1,923295,Zomba
872261229801,-15.39979,35.31366,1,7839211,Zomba Central Hospital
872261229803,,,8,927384,Republic of Malawi
872261229807,-9.927265,33.425412,3,235749,Chitipa District
872261229820,-14.262731,34.18559,3,930023,Dedza District
872261229825,-14.392955,35.346577,3,927245,Mangochi District
872261229833,-15.01545,34.96366,1,7869961,Rivi-Rivi Bridge
872261229925,,,6,927384,Republic of Malawi
872261229925,,,8,927384,Republic of Malawi
872261229925,-15.883333,34.95,1,926209,Mpemba
872261229931,,,8,927384,Republic of Malawi
872261229933,,,8,927384,Republic of Malawi
872261229933,,,6,927384,Republic of Malawi
872261229937,-9.933333,33.933333,1,235715,Karonga
872261229937,-10.7,34.183333,1,930340,Chiweta
872261229938,,,6,927384,Republic of Malawi
872261229945,-14.383333,34.516667,1,927130,Masasa
872261229945,-14.516667,34.466667,1,927828,Lizulu
872261229945,-14.083333,34.916667,1,6297124,Monkey Bay
872261229945,-14.75,34.75,3,925072,Ntcheu District
872261229945,-14.392955,35.346577,3,927245,Mangochi District
872261229945,-14.4166667,34.6,1,929778,Golomoti Station
872261229945,-14.262731,34.18559,3,930023,Dedza District
872261229945,-14.43419,34.4208,1,7840036,M1/S127 Junction
872261229945,-14.17037,34.94348,1,7840039,Turn off to Monkey Bay
872261229951,,,8,927384,Republic of Malawi
872261229957,-14.392955,35.346577,3,927245,Mangochi District
872261229957,-14.083333,34.916667,1,926308,Monkey Bay
872261229957,-14.466667,35.266667,1,927246,Mangochi
872261229964,,,8,927384,Republic of Malawi
872261229994,,,6,927384,Republic of Malawi
872261239843,,,6,927384,Republic of Malawi
872261239860,,,6,927384,Republic of Malawi
872261239860,-10.111532,33.881507,3,928657,Karonga District
872261239860,-10.802922,33.805243,3,924100,Rumphi District
872261239860,-11.854277,33.607776,3,925496,Mzimba District
872261239860,-13,33.4166667,3,928531,Kasungu District
872261239860,-12.804172,34.082977,3,924703,Nkhotakota District
872261239860,-13.762298,33.0799839,3,926745,Mchinji District
872261239860,-13.295737,33.907981,3,924490,Ntchisi District
872261239860,-14.75,34.75,3,925072,Ntcheu District
872261239860,-14.019624,33.68407,3,927964,Lilongwe District
872261239860,-14.392955,35.346577,3,927245,Mangochi District
872261239860,-15.04839,35.0591,3,1105840,Balaka District
872261239860,-15.430074,35.418291,3,923292,Zomba District
872261239860,-15.9344,35.4999,3,925788,Mulanje District
872261239860,-14.26273,34.18559,3,930023,Dedza District
872261239860,-16.75,35.16667,3,924567,Nsanje District
872261239860,-14.945831,35.573667,3,927642,Machinga District
872261239861,-14.392955,35.346577,3,927245,Mangochi District
872261239861,-10.802922,33.805243,3,924100,Rumphi District
872261239861,-11.854277,33.607776,3,925496,Mzimba District
872261239861,-12.804172,34.082977,3,924703,Nkhotakota District
872261239861,-13.762298,33.0799839,3,926745,Mchinji District
872261239861,-13.295737,33.907981,3,924490,Ntchisi District
872261239861,-14.75,34.75,3,925072,Ntcheu District
872261239861,-15.430074,35.418291,3,923292,Zomba District
872261239861,-15.934395,35.499904,3,925788,Mulanje District
872261239861,-15.6666667,35.6666667,3,1105842,Phalombe District
872261239861,-16.105828,35.150601,3,930283,Thyolo District
872261239861,-11.65304,34.053218,3,924730,Nkhata Bay District
872261239861,-13.719594,34.401842,3,924053,Salima District
872261239867,-11.366667,33.883333,1,929900,Ekwendeni
872261239867,-11.46555674,34.02070999,1,925475,Mzuzu
872261239867,-12.716667,33.4,2,924724,Nkhoma
872261239867,-16.916667,35.266667,1,924572,Nsanje
872261239867,-16.025439,35.504015,1,925789,Mulanje
872261239867,-16.070289,35.147143,1,923652,Thyolo
872261239867,-15.697583,35.185055,1,930580,Chiradzulu
872261239867,-13.9833333,33.7833333,1,927967,Lilongwe
872261239867,-15.385957,35.318801,1,923295,Zomba
872261239867,-15.786823,35.013868,1,931755,Blantyre
872261239867,-11,34,4,924591,Northern Region
872261239867,-15.5,35,4,923817,Southern Region
872261239867,-13.5,34,4,931597,Central Region
872261239869,-11.465557,34.02071,1,925475,Mzuzu
872261239869,-13.983333,33.783333,1,927967,Lilongwe
872261239869,-15.786823,35.013868,1,931755,Blantyre
872261239869,-14.966667,35.516667,1,927643,Machinga
872261239869,-15.43007,35.41829,3,923292,Zomba District
872261239869,-16.10583,35.1506,3,930283,Thyolo District
872261239869,-11.85428,33.60778,3,925496,Mzimba District
872261239869,-15,34.8,1,927226,Manjawila
872261239869,-15.25988,35.32171,1,7839986,Malosa
872261239869,-16.783333,35.25,5,929960,Dwale
872261239869,-15.15,34.583333,5,923589,Tsangano
872261239869,-14.75,34.75,3,925072,Ntcheu District
872261239869,-15.400026,35.182766,1,930803,Chingali
872261239869,-11.516667,33.7,1,924787,Njuyu
872261239869,-12.6,33.583333,1,929888,Emfeni
872261239869,-16.105828,35.150601,3,930283,Thyolo District
872261239877,-14.019624,33.68407,3,927964,Lilongwe District
872261239877,-14.945831,35.573667,3,927642,Machinga District
872261239877,-14.392955,35.346577,3,927245,Mangochi District
872261239877,-15.048394,35.059102,3,1105840,Balaka District
872261239877,-10.111532,33.881507,3,928657,Karonga District
872261239877,-10.802922,33.805243,3,924100,Rumphi District
872261239877,-11.854277,33.607776,3,925496,Mzimba District
872261239877,-13,33.4166667,3,928531,Kasungu District
872261239877,-12.804172,34.082977,3,924703,Nkhotakota District
872261239877,-13.762298,33.0799839,3,926745,Mchinji District
872261239877,-13.295737,33.907981,3,924490,Ntchisi District
872261239877,-14.75,34.75,3,925072,Ntcheu District
872261239877,-15.430074,35.418291,3,923292,Zomba District
872261239877,-15.934395,35.499904,3,925788,Mulanje District
872261239877,-15.6666667,35.6666667,3,1105842,Phalombe District
872261239877,-16.105828,35.150601,3,930283,Thyolo District
872261239877,-11.65304,34.053218,3,924730,Nkhata Bay District
872261239877,-13.600977,33.823778,3,929975,Dowa District
872261239877,-13.719594,34.401842,3,924053,Salima District
